Código,Nome,Data,Unidade,Quantidade,Total custo,Total venda,Valor lucro,%Lucro
8180,BLUSA DEISE VERÃO,jan. / 2024,UN,1,"23,43","59,80","36,37","60,81%"
B22,BRINCO,jan. / 2024,UN,1,"22,00","41,80","19,80","47,36%"
B25,BRINCO,jan. / 2024,UN,1,"25,00","50,00","25,00","50,00%"
8551,CONJUNTO,jan. / 2024,UN,1,"85,49","179,85","94,36","52,46%"
03,ÓCULOS,jan. / 2024,UN,1,"60,00","120,00","60,00","50,00%"
6324,REGATA VISCO,jan. / 2024,UN,2,"83,14","179,80","96,66","53,75%"
3530,SHORT MOM,jan. / 2024,UN,1,"86,90","179,80","92,90","51,66%"
06321,VESTIDO,jan. / 2024,UN,1,"75,90","159,90","84,00","52,53%"
P539,VESTIDO ALEXIA,jan. / 2024,UN,1,"139,90","199,89","59,99","30,01%"
1875,BERMUDA,fev. / 2024,UN,1,"0,00","139,80","139,80","100,00%"
040127,BERMUDA JEANS,fev. / 2024,UN,2,"159,80","319,80","160,00","50,03%"
066315,BLUSA,fev. / 2024,UN,1,"79,90","159,90","80,00","50,03%"
BL813,BLUSA,fev. / 2024,UN,1,"13,00","40,00","27,00","67,50%"
24359,BLUSA BITECIDOS COM BORDA .M,fev. / 2024,UN,1,"64,90","99,00","34,10","34,44%"
8180,BLUSA DEISE VERÃO,fev. / 2024,UN,1,"23,43","59,90","36,47","60,88%"
6149,CALÇA,fev. / 2024,UN,1,"0,00","139,80","139,80","100,00%"
674004,CALÇA,fev. / 2024,UN,1,"109,90","219,90","110,00","50,02%"
2131,CALÇA CAPRI,fev. / 2024,UN,1,"81,90","139,90","58,00","41,45%"
674592,CALÇA EOS,fev. / 2024,UN,1,"119,90","239,85","119,95","50,01%"
674494,CALÇA EOS,fev. / 2024,UN,1,"99,90","199,80","99,90","50,00%"
2979,CALÇA JOGGER,fev. / 2024,UN,1,"79,90","139,90","60,00","42,88%"
2121,CIGARRETE ESPECIAL,fev. / 2024,UN,1,"91,90","189,90","98,00","51,60%"
5904,CROPPED CANELADO,fev. / 2024,UN,1,"32,90","69,90","37,00","52,93%"
8605,REGATA,fev. / 2024,UN,2,"69,80","139,80","70,00","50,07%"
09900,REGATA ALÇA LARGA,fev. / 2024,UN,2,"59,40","139,80","80,40","57,51%"
6324,REGATA VISCO,fev. / 2024,UN,1,"41,57","89,90","48,33","53,75%"
066567,SHORT PP,fev. / 2024,UN,1,"69,90","179,85","109,95","61,13%"
06321,VESTIDO,fev. / 2024,UN,1,"75,90","150,00","74,10","49,40%"
8619,BASICA VISCO,mar. / 2024,UN,1,"21,90","44,85","22,95","51,17%"
40141,BERMUDA,mar. / 2024,UN,1,"74,90","149,85","74,95","50,01%"
6441,BLUSA BASICA,mar. / 2024,UN,2,"81,44","160,00","78,56","49,10%"
9698,BLUSA CANELADO DET. MANGA,mar. / 2024,UN,1,"44,90","50,00","5,10","10,20%"
8180,BLUSA DEISE VERÃO,mar. / 2024,UN,1,"23,43","55,34","31,91","57,66%"
6466,BLUSA PERROLAS MANGA VISCOLYCRA,mar. / 2024,UN,1,"53,47","109,90","56,43","51,34%"
3648,BLUSA RIBANA MANGA 3/4,mar. / 2024,UN,1,"32,00","64,66","32,66","50,51%"
B12,BRINCO,mar. / 2024,UN,1,"12,00","24,00","12,00","50,00%"
2043,CALÇA,mar. / 2024,UN,1,"104,90","209,85","104,95","50,01%"
032699,CALÇA,mar. / 2024,UN,1,"84,90","179,86","94,96","52,79%"
2028,CALÇA JOGGER,mar. / 2024,UN,1,"86,90","189,60","102,70","54,16%"
6404,CALÇA WIDE LEG ALFAIATARIA,mar. / 2024,UN,1,"78,37","159,88","81,51","50,98%"
3692,CAMISETA FEM,mar. / 2024,UN,1,"27,90","35,00","7,10","20,28%"
6021,CASAQUINHO,mar. / 2024,UN,2,"0,00","299,70","299,70","100,00%"
2124,CIGARRETE,mar. / 2024,UN,1,"103,90","140,40","36,50","25,99%"
2121,CIGARRETE ESPECIAL,mar. / 2024,UN,2,"183,80","370,30","186,50","50,36%"
2091,CIGARRETE FEM,mar. / 2024,UN,1,"99,90","139,59","39,69","28,43%"
8604,CROPPED,mar. / 2024,UN,1,"34,90","79,90","45,00","56,32%"
090129,JAQUETA FEM,mar. / 2024,UN,1,"149,90","299,80","149,90","50,00%"
6144,REGATA JEANS,mar. / 2024,UN,1,"30,00","85,00","55,00","64,70%"
REGATA,REGATA PAI,mar. / 2024,UN,2,"69,80","139,80","70,00","50,07%"
06947,SHORT,mar. / 2024,UN,1,"55,90","119,85","63,95","53,35%"
2116,WIDE LEG,mar. / 2024,UN,1,"98,90","209,55","110,65","52,80%"
DZ20236,CALÇA SKINNY,abr. / 2024,UN,1,"159,90","259,84","99,94","38,46%"
3904,BLUSA ALÇA BASIC CANELADA,abr. / 2024,UN,1,"29,60","49,90","20,30","40,68%"
5733,BLUSA ESTAMPA,abr. / 2024,UN,1,"49,90","85,00","35,10","41,29%"
01424,CALÇA MASC. JOGGER,abr. / 2024,UN,1,"87,90","149,85","61,95","41,34%"
01426,CALÇA MASC.,abr. / 2024,UN,1,"104,90","189,90","85,00","44,76%"
B15,BRINCO,abr. / 2024,UN,1,"15,00","28,50","13,50","47,36%"
B20,BRINCO,abr. / 2024,UN,1,"20,00","38,00","18,00","47,36%"
B25,BRINCO,abr. / 2024,UN,1,"25,00","47,50","22,50","47,36%"
DZ6629,SHIORT SETENTINHA,abr. / 2024,UN,1,"114,90","228,00","113,10","49,60%"
BL810,REGATA,abr. / 2024,UN,1,"10,00","19,90","9,90","49,74%"
AN20,ANEL,abr. / 2024,UN,1,"20,00","40,00","20,00","50,00%"
032773,CALÇA,abr. / 2024,UN,1,"99,90","199,80","99,90","50,00%"
PL45,PULSEIRA,abr. / 2024,UN,1,"45,00","90,00","45,00","50,00%"
8591,SHORT DAILANE,abr. / 2024,UN,1,"49,90","99,80","49,90","50,00%"
674004013,CALÇA MODELADORA LIVI,abr. / 2024,UN,1,"109,90","219,90","110,00","50,02%"
2007,BLUSA,abr. / 2024,UN,2,"119,80","239,80","120,00","50,04%"
1571,CALÇA MOLETOM,abr. / 2024,UN,2,"99,80","199,80","100,00","50,05%"
2124,CIGARRETE,abr. / 2024,UN,1,"103,90","209,55","105,65","50,41%"
2112,CALÇA CAPRI,abr. / 2024,UN,1,"92,90","189,90","97,00","51,07%"
8619,BASICA VISCO,abr. / 2024,UN,1,"21,90","44,90","23,00","51,22%"
6530,SAIA,abr. / 2024,UN,1,"73,01","149,85","76,84","51,27%"
2099,CALÇA CAPRI,abr. / 2024,UN,1,"101,90","209,85","107,95","51,44%"
090125,JAQUETA,abr. / 2024,UN,2,"239,80","499,60","259,80","52,00%"
1332,BLUSA NOTOES PUNHO,abr. / 2024,UN,1,"38,10","79,90","41,80","52,31%"
2164,CALÇA VIA ATUAL,abr. / 2024,UN,1,"99,90","209,85","109,95","52,39%"
1441,CALÇA PLUS,abr. / 2024,UN,1,"47,52","99,90","52,38","52,43%"
2024,CALÇA WIDE,abr. / 2024,UN,1,"89,90","189,90","100,00","52,65%"
8191,JAQUETA CURTA,abr. / 2024,UN,2,"259,80","551,20","291,40","52,86%"
1831,BLUSA,abr. / 2024,UN,1,"32,90","69,90","37,00","52,93%"
7676,CALÇA WIDE LEG,abr. / 2024,UN,1,"69,90","149,85","79,95","53,35%"
8621,BLAZER,abr. / 2024,UN,1,"59,90","129,90","70,00","53,88%"
8750,CALÇA SIDONIA,abr. / 2024,UN,1,"59,90","129,90","70,00","53,88%"
8722,CALÇA WILDY,abr. / 2024,UN,1,"59,90","129,90","70,00","53,88%"
2027,CALÇA JOGGER,abr. / 2024,UN,1,"86,90","189,90","103,00","54,23%"
6463,CASACO BASICO VISCOLYCRA,abr. / 2024,UN,3,"142,56","313,83","171,27","54,57%"
6441,BLUSA BASICA,abr. / 2024,UN,2,"81,44","179,80","98,36","54,70%"
2193,CALÇA WIDE,abr. / 2024,UN,2,"189,80","419,70","229,90","54,77%"
8196,REGATA JULIANE,abr. / 2024,UN,1,"26,64","59,90","33,26","55,52%"
6039,BLUSA BASICA,abr. / 2024,UN,1,"30,94","69,90","38,96","55,73%"
09900,REGATA ALÇA LARGA,abr. / 2024,UN,2,"59,40","135,90","76,50","56,29%"
6541,T-SHIRT G1,abr. / 2024,UN,1,"42,42","99,90","57,48","57,53%"
6487,MONTARIA SUPLEX,abr. / 2024,UN,2,"105,24","249,90","144,66","57,88%"
2002,BLUSA,abr. / 2024,UN,1,"0,00","89,90","89,90","100,00%"
8612,BLUSA DEISE,abr. / 2024,UN,2,"0,00","119,80","119,80","100,00%"
8781,CONJUNTO,abr. / 2024,UN,1,"0,00","199,80","199,80","100,00%"
8521,CROPPED,abr. / 2024,UN,1,"0,00","66,00","66,00","100,00%"
8625,REGATA,abr. / 2024,UN,1,"0,00","56,00","56,00","100,00%"
8627,REGATA BOJO,abr. / 2024,UN,2,"0,00","109,80","109,80","100,00%"
674590,SHORT JEANS,abr. / 2024,UN,1,"0,00","159,99","159,99","100,00%"
8750,CALÇA SIDONIA,mai. / 2024,UN,2,"119,80","129,90","10,10","7,77%"
8640,BLUSA PATY,mai. / 2024,UN,2,"47,80","70,00","22,20","31,71%"
B12,BRINCO,mai. / 2024,UN,1,"12,00","24,00","12,00","50,00%"
CO40,COLAR,mai. / 2024,UN,1,"40,00","80,00","40,00","50,00%"
090129,JAQUETA FEM,mai. / 2024,UN,1,"149,90","299,80","149,90","50,00%"
8191,JAQUETA CURTA,mai. / 2024,UN,1,"129,90","275,60","145,70","52,86%"
8722,CALÇA WILDY,mai. / 2024,UN,1,"59,90","129,90","70,00","53,88%"
2483,BLUSA,mai. / 2024,UN,1,"35,90","79,50","43,60","54,84%"
6452,BLUSA CURTA,mai. / 2024,UN,1,"42,42","99,90","57,48","57,53%"
6487,MONTARIA SUPLEX,mai. / 2024,UN,2,"105,24","259,80","154,56","59,49%"
8674,BLUSA KAMILE,mai. / 2024,UN,2,"39,80","99,80","60,00","60,12%"
8611,BLAZER,mai. / 2024,UN,1,"40,00","119,90","79,90","66,63%"
BL813,BLUSA,mai. / 2024,UN,1,"13,00","44,90","31,90","71,04%"
1937,BLUSA,mai. / 2024,UN,1,"0,00","89,90","89,90","100,00%"
8641,BLUSA ANA PAULA,mai. / 2024,UN,2,"0,00","139,80","139,80","100,00%"
8612,BLUSA DEISE,mai. / 2024,UN,1,"0,00","59,90","59,90","100,00%"
8629,BLUSA GIOVANA,mai. / 2024,UN,1,"0,00","49,90","49,90","100,00%"
CO4900,COLAR,mai. / 2024,UN,1,"0,00","97,95","97,95","100,00%"
8781,CONJUNTO,mai. / 2024,UN,1,"0,00","199,80","199,80","100,00%"
6441,BLUSA BASICA,mai. / 2024,UN,1,"40,72","9,90","-30,82","-311,31%"
48407,BLUSA KALUBE,jun. / 2024,UN,1,"27,90","59,90","32,00","53,42%"
B120024,BRINCO,jun. / 2024,UN,1,"0,00","24,00","24,00","100,00%"
B180036,BRINCO,jun. / 2024,UN,1,"0,00","36,00","36,00","100,00%"
2169,CALÇA CIGARRETE,jun. / 2024,UN,1,"114,90","239,85","124,95","52,09%"
C0220044,COLAR,jun. / 2024,UN,1,"0,00","44,00","44,00","100,00%"
6487,MONTARIA SUPLEX,jun. / 2024,UN,1,"52,62","129,90","77,28","59,49%"
CO45,COLAR,jul. / 2024,UN,1,"45,00","90,00","45,00","50,00%"
PL38,PULSEIRA,jul. / 2024,UN,1,"38,00","76,00","38,00","50,00%"
8487,CONJUNTO,jul. / 2024,UN,1,"74,79","151,90","77,11","50,76%"
2161,CALÇA BLACK,jul. / 2024,UN,1,"109,90","229,95","120,05","52,20%"
2164,CALÇA VIA ATUAL,jul. / 2024,UN,1,"99,90","209,81","109,91","52,38%"
8191,JAQUETA CURTA,jul. / 2024,UN,2,"259,80","551,20","291,40","52,86%"
2027,CALÇA JOGGER,jul. / 2024,UN,1,"86,90","189,90","103,00","54,23%"
8189,JAQUETA FEMININA,jul. / 2024,UN,1,"134,90","299,80","164,90","55,00%"
8641,BLUSA ANA PAULA,jul. / 2024,UN,5,"0,00","339,00","339,00","100,00%"
8828,BLUSA CEREJA,jul. / 2024,UN,1,"0,00","69,90","69,90","100,00%"
8612,BLUSA DEISE,jul. / 2024,UN,3,"0,00","179,70","179,70","100,00%"
8745,BLUSA GESSY,jul. / 2024,UN,1,"0,00","89,90","89,90","100,00%"
6483,BLUSA TERMICA,jul. / 2024,UN,1,"0,00","66,00","66,00","100,00%"
9003,CALÇA KENDALL,jul. / 2024,UN,1,"0,00","159,90","159,90","100,00%"
7995,CALÇA PELUCIADA,jul. / 2024,UN,1,"0,00","99,90","99,90","100,00%"
6417,JAQUETA G,jul. / 2024,UN,2,"0,00","289,75","289,75","100,00%"
6506,JAQUETA PLUS PLUS,jul. / 2024,UN,1,"0,00","149,85","149,85","100,00%"
8627,REGATA BOJO,jul. / 2024,UN,1,"0,00","56,90","56,90","100,00%"
52157,BLUSA LÃ,ago. / 2024,UN,1,"79,90","69,90","-10,00","-14,30%"
5008,CONJUNTO BANGALO,ago. / 2024,UN,1,"129,90","179,26","49,36","27,53%"
674507327,CALÇA MODEL ANGELA,ago. / 2024,UN,1,"99,90","139,93","40,03","28,60%"
CO28,COLAR,ago. / 2024,UN,1,"28,00","50,40","22,40","44,44%"
8941,CALÇA FABRICIA,ago. / 2024,UN,1,"64,10","116,91","52,81","45,17%"
B25,BRINCO,ago. / 2024,UN,2,"50,00","92,50","42,50","45,94%"
6279,REGATA,ago. / 2024,UN,2,"69,80","130,00","60,20","46,30%"
032817,CALÇA FEM RETA,ago. / 2024,UN,1,"114,90","229,80","114,90","50,00%"
DZ20083,CALÇA MOM,ago. / 2024,UN,1,"134,90","269,80","134,90","50,00%"
8591,SHORT DAILANE,ago. / 2024,UN,1,"49,90","99,80","49,90","50,00%"
DRY,CALÇA DRY FIT,ago. / 2024,UN,1,"79,90","159,90","80,00","50,03%"
1571,CALÇA MOLETOM,ago. / 2024,UN,1,"49,90","99,90","50,00","50,05%"
2121,CIGARRETE ESPECIAL,ago. / 2024,UN,1,"91,90","189,81","97,91","51,58%"
032810,CALÇA RETA,ago. / 2024,UN,1,"104,90","219,90","115,00","52,29%"
CUECA,CUECA,ago. / 2024,UN,3,"53,70","119,70","66,00","55,13%"
8627,REGATA BOJO,ago. / 2024,UN,3,"79,95","179,70","99,75","55,50%"
8659,CONJUNTO,ago. / 2024,UN,1,"79,90","179,85","99,95","55,57%"
6452,BLUSA CURTA,ago. / 2024,UN,1,"42,42","99,85","57,43","57,51%"
2088,CALÇA JOGGER,ago. / 2024,UN,1,"84,90","209,85","124,95","59,54%"
2002,BLUSA,ago. / 2024,UN,1,"0,00","77,94","77,94","100,00%"
6576,BLUSA ABERTURA MANGA,ago. / 2024,UN,1,"0,00","99,90","99,90","100,00%"
8612,BLUSA DEISE,ago. / 2024,UN,3,"0,00","173,80","173,80","100,00%"
02527,BLUSA MANGA LONGA,ago. / 2024,UN,1,"0,00","69,90","69,90","100,00%"
8664,BLUSA MANGA LONGA,ago. / 2024,UN,1,"0,00","48,93","48,93","100,00%"
6464,BLUSA MANGA VISCOLYCRA,ago. / 2024,UN,1,"0,00","59,90","59,90","100,00%"
6483,BLUSA TERMICA,ago. / 2024,UN,1,"0,00","63,09","63,09","100,00%"
796089,BOLSA,ago. / 2024,UN,1,"0,00","179,85","179,85","100,00%"
896099,BOLSA,ago. / 2024,UN,1,"0,00","179,85","179,85","100,00%"
B120024,BRINCO,ago. / 2024,UN,2,"0,00","48,00","48,00","100,00%"
CO4900,COLAR,ago. / 2024,UN,1,"0,00","92,50","92,50","100,00%"
7045,CONJUNTO,ago. / 2024,UN,1,"0,00","256,91","256,91","100,00%"
7033,PARKA DE CINTO,ago. / 2024,UN,1,"0,00","321,81","321,81","100,00%"
L7982,SAIA,ago. / 2024,UN,1,"0,00","129,90","129,90","100,00%"
8168,SAIA LONGA,ago. / 2024,UN,1,"0,00","159,90","159,90","100,00%"
8949,T-SHIRT DEISE,ago. / 2024,UN,1,"0,00","59,90","59,90","100,00%"
DZ6630,SHORT,set. / 2024,UN,1,"99,90","149,85","49,95","33,33%"
8977,CONJUNTO GABRIELA,set. / 2024,UN,1,"106,90","180,00","73,10","40,61%"
6201,BLUSA RENDA BABADO,set. / 2024,UN,1,"73,01","139,36","66,35","47,61%"
B18,BRINCO AN,set. / 2024,UN,2,"36,00","69,83","33,83","48,44%"
B20,BRINCO,set. / 2024,UN,1,"20,00","40,00","20,00","50,00%"
8191,JAQUETA CURTA,set. / 2024,UN,1,"129,90","275,60","145,70","52,86%"
5904,CROPPED CANELADO,set. / 2024,UN,1,"32,90","69,90","37,00","52,93%"
8984,BLUSA JANICE,set. / 2024,UN,1,"32,00","69,90","37,90","54,22%"
2193,CALÇA WIDE,set. / 2024,UN,2,"189,80","419,70","229,90","54,77%"
BL810,REGATA,set. / 2024,UN,1,"10,00","26,81","16,81","62,70%"
6419,BLAZER,set. / 2024,UN,1,"0,00","169,80","169,80","100,00%"
6636,BLUSA DECOTE FRANZIDO CANELADO,set. / 2024,UN,1,"0,00","99,00","99,00","100,00%"
8664,BLUSA MANGA LONGA,set. / 2024,UN,1,"0,00","69,90","69,90","100,00%"
6464,BLUSA MANGA VISCOLYCRA,set. / 2024,UN,1,"0,00","59,90","59,90","100,00%"
8607,CALÇA ROMA,set. / 2024,UN,1,"0,00","149,85","149,85","100,00%"
8784,CARDIGÃ,set. / 2024,UN,1,"0,00","119,90","119,90","100,00%"
8949,T-SHIRT DEISE,set. / 2024,UN,1,"0,00","59,90","59,90","100,00%"
2161,CALÇA BLACK,out. / 2024,UN,1,"109,90","229,49","119,59","52,11%"
8180,BLUSA DEISE VERÃO,out. / 2024,UN,2,"46,86","119,80","72,94","60,88%"
9172,BLUSA,out. / 2024,UN,1,"0,00","69,90","69,90","100,00%"
6567,BLUSA,out. / 2024,UN,1,"0,00","49,90","49,90","100,00%"
2262,CALÇA,out. / 2024,UN,2,"0,00","459,60","459,60","100,00%"
2263,CALÇA,out. / 2024,UN,2,"0,00","467,40","467,40","100,00%"
7067,REGATA,out. / 2024,UN,1,"0,00","84,90","84,90","100,00%"
6653,REGATA,out. / 2024,UN,2,"0,00","169,80","169,80","100,00%"
6665,REGATINHA,out. / 2024,UN,1,"0,00","79,90","79,90","100,00%"
8949,T-SHIRT DEISE,out. / 2024,UN,2,"0,00","119,80","119,80","100,00%"
DZ6616,SHORTS,nov. / 2024,UN,1,"114,90","189,91","75,01","39,49%"
2171,CALÇA CIGARRETE,nov. / 2024,UN,1,"104,90","205,00","100,10","48,82%"
PL40,PULSEIRA,nov. / 2024,UN,1,"40,00","80,00","40,00","50,00%"
2164,CALÇA VIA ATUAL,nov. / 2024,UN,1,"99,90","200,01","100,11","50,05%"
3577,BERMUDA,nov. / 2024,UN,1,"80,00","171,75","91,75","53,42%"
PL22,PULSEIRA,nov. / 2024,UN,1,"22,00","47,90","25,90","54,07%"
896099,BOLSA,nov. / 2024,UN,1,"0,00","179,85","179,85","100,00%"
2262,CALÇA,nov. / 2024,UN,1,"0,00","229,80","229,80","100,00%"
2263,CALÇA,nov. / 2024,UN,1,"0,00","233,70","233,70","100,00%"
6608,CIGARRETE LINHO,nov. / 2024,UN,1,"0,00","199,80","199,80","100,00%"
9012,CONJUNTO,nov. / 2024,UN,1,"0,00","209,70","209,70","100,00%"
10554,REGATA,nov. / 2024,UN,1,"0,00","69,90","69,90","100,00%"
8450,SHORT,nov. / 2024,UN,1,"0,00","99,89","99,89","100,00%"
8191,JAQUETA CURTA,dez. / 2024,UN,1,"129,90","225,00","95,10","42,26%"
B22,BRINCO,dez. / 2024,UN,1,"22,00","44,00","22,00","50,00%"
032773,CALÇA,dez. / 2024,UN,1,"99,90","199,80","99,90","50,00%"
CO35X,COLAR,dez. / 2024,UN,1,"35,00","70,00","35,00","50,00%"
8441,CROPPED,dez. / 2024,UN,1,"39,90","79,90","40,00","50,06%"
9025,CALÇA WIDE,dez. / 2024,UN,1,"59,90","120,11","60,21","50,12%"
OR069,BOLSA,dez. / 2024,UN,1,"89,00","179,85","90,85","50,51%"
8984,BLUSA JANICE,dez. / 2024,UN,1,"32,00","64,89","32,89","50,68%"
6538,MONTARIA SUPLEX,dez. / 2024,UN,1,"58,56","120,00","61,44","51,20%"
BERMUDA,BERMUDA PAI,dez. / 2024,UN,2,"84,00","179,80","95,80","53,28%"
3577,BERMUDA,dez. / 2024,UN,1,"80,00","171,75","91,75","53,42%"
2258,CALÇA VIA ATUAL,dez. / 2024,UN,2,"183,80","399,60","215,80","54,00%"
032585,CALÇA,dez. / 2024,UN,1,"99,90","219,90","120,00","54,57%"
3585,BERMUDA,dez. / 2024,UN,1,"0,00","179,85","179,85","100,00%"
3588,BERMUDA,dez. / 2024,UN,1,"0,00","171,75","171,75","100,00%"
6664,BLUSA,dez. / 2024,UN,1,"0,00","69,90","69,90","100,00%"
6619,BLUSA,dez. / 2024,UN,1,"0,00","91,80","91,80","100,00%"
6751,BLUSA,dez. / 2024,UN,1,"0,00","99,90","99,90","100,00%"
9146,BLUSA BASICA CANELADA,dez. / 2024,UN,1,"0,00","69,90","69,90","100,00%"
6483,BLUSA TERMICA,dez. / 2024,UN,1,"0,00","69,00","69,00","100,00%"
796089,BOLSA,dez. / 2024,UN,1,"0,00","179,85","179,85","100,00%"
2275,CALÇA,dez. / 2024,UN,2,"0,00","426,61","426,61","100,00%"
2256,CALÇA,dez. / 2024,UN,1,"0,00","187,81","187,81","100,00%"
9226,CALÇA,dez. / 2024,UN,2,"0,00","250,71","250,71","100,00%"
C012,CALÇA ALCILENE,dez. / 2024,UN,1,"0,00","199,80","199,80","100,00%"
10546,CONJUNTO,dez. / 2024,UN,1,"0,00","188,81","188,81","100,00%"
9175,CONJUNTO,dez. / 2024,UN,2,"0,00","359,70","359,70","100,00%"
9266,CONJUNTO,dez. / 2024,UN,1,"0,00","219,90","219,90","100,00%"
9068,CROPPED,dez. / 2024,UN,1,"0,00","69,90","69,90","100,00%"
M6880,CROPPED,dez. / 2024,UN,1,"0,00","79,90","79,90","100,00%"
M6879,CROPPED,dez. / 2024,UN,1,"0,00","74,31","74,31","100,00%"
10554,REGATA,dez. / 2024,UN,4,"0,00","275,41","275,41","100,00%"
9009,REGATA,dez. / 2024,UN,1,"0,00","69,90","69,90","100,00%"
8960,REGATA,dez. / 2024,UN,1,"0,00","69,90","69,90","100,00%"
9227,SHORT,dez. / 2024,UN,1,"0,00","129,90","129,90","100,00%"
3597,SHORT,dez. / 2024,UN,2,"0,00","311,79","311,79","100,00%"
M7083,SHORT SOCIAL,dez. / 2024,UN,1,"0,00","169,06","169,06","100,00%"
8949,T-SHIRT DEISE,dez. / 2024,UN,5,"0,00","239,61","239,61","100,00%"
M7003,VESTIDO,dez. / 2024,UN,2,"0,00","384,67","384,67","100,00%"
CALCAMASC,CALÇA MASCULINA,jan. / 2025,UN,1,"99,90","179,90","80,00","44,46%"
1033246,CASACO,jan. / 2025,UN,1,"119,90","237,80","117,90","49,57%"
AN18,ANEL,jan. / 2025,UN,1,"18,00","36,00","18,00","50,00%"
B18,BRINCO AN,jan. / 2025,UN,1,"18,00","36,00","18,00","50,00%"
CO28,COLAR,jan. / 2025,UN,1,"28,00","56,00","28,00","50,00%"
CO38,COLAR,jan. / 2025,UN,2,"76,00","152,00","76,00","50,00%"
2004,JAQUETA,jan. / 2025,UN,1,"149,90","299,80","149,90","50,00%"
PL28,PULSEIRA,jan. / 2025,UN,1,"28,00","56,00","28,00","50,00%"
8591,SHORT DAILANE,jan. / 2025,UN,1,"49,90","99,80","49,90","50,00%"
3487,CICLISTA,jan. / 2025,UN,1,"73,90","149,86","75,96","50,68%"
0767,TOP,jan. / 2025,UN,2,"145,80","299,80","154,00","51,36%"
090125,JAQUETA,jan. / 2025,UN,1,"119,90","249,70","129,80","51,98%"
2188,CALÇA RETA,jan. / 2025,UN,2,"199,80","419,70","219,90","52,39%"
