Código,Nome,Data,Unidade,Quantidade,Total custo,Total venda,Valor lucro,%Lucro
2164,CALÇA VIA ATUAL,jan. / 2025,UN,1,"99,90","209,85","109,95","52,39%"
2171,CALÇA CIGARRETE,jan. / 2025,UN,1,"104,90","220,50","115,60","52,42%"
6832,BLUSA URLA,jan. / 2025,UN,1,"84,91","179,85","94,94","52,78%"
6889,CALÇA AVERZZY,jan. / 2025,UN,1,"94,26","199,80","105,54","52,82%"
6862,BLUSA,jan. / 2025,UN,3,"150,21","319,70","169,49","53,01%"
8722,CALÇA WILDY,jan. / 2025,UN,1,"59,90","129,90","70,00","53,88%"
8513,VESTIDO LINDA MICRO,jan. / 2025,UN,1,"64,09","139,90","75,81","54,18%"
5000,CALÇA MONTARIA,jan. / 2025,UN,2,"119,00","259,80","140,80","54,19%"
BERMUDAS,BERMUDA FEM ANDRELITA,jan. / 2025,UN,6,"239,40","524,70","285,30","54,37%"
2193,CALÇA WIDE,jan. / 2025,UN,1,"94,90","209,85","114,95","54,77%"
8189,JAQUETA FEMININA,jan. / 2025,UN,2,"269,80","599,60","329,80","55,00%"
5002,BERMUDA,jan. / 2025,UN,3,"119,70","269,70","150,00","55,61%"
3085,BLUSA MEIA ESTACÃO,jan. / 2025,UN,1,"39,90","89,90","50,00","55,61%"
8300,CONJUNTO,jan. / 2025,UN,1,"99,90","239,85","139,95","58,34%"
8650,REGATA MINDRA,jan. / 2025,UN,1,"24,90","59,90","35,00","58,43%"
5028,CALÇA,jan. / 2025,UN,3,"84,00","209,70","125,70","59,94%"
MC3050,MACAQUINHO GIRASSOL,jan. / 2025,UN,1,"30,00","120,00","90,00","75,00%"
10652,BERMUDA,jan. / 2025,UN,1,"0,00","89,90","89,90","100,00%"
3571,BERMUDA,jan. / 2025,UN,2,"0,00","359,70","359,70","100,00%"
3585,BERMUDA,jan. / 2025,UN,1,"0,00","179,85","179,85","100,00%"
8719,BLAZER,jan. / 2025,UN,1,"0,00","99,91","99,91","100,00%"
A5347,BLUSA,jan. / 2025,UN,1,"0,00","179,85","179,85","100,00%"
6657,BLUSA,jan. / 2025,UN,1,"0,00","99,90","99,90","100,00%"
M6992,BLUSA,jan. / 2025,UN,1,"0,00","89,90","89,90","100,00%"
9516,BLUSA LONGA,jan. / 2025,UN,1,"0,00","89,90","89,90","100,00%"
6888,BLUSA URLA,jan. / 2025,UN,1,"0,00","199,80","199,80","100,00%"
896099,BOLSA,jan. / 2025,UN,1,"0,00","179,85","179,85","100,00%"
2262,CALÇA,jan. / 2025,UN,1,"0,00","229,80","229,80","100,00%"
2256,CALÇA,jan. / 2025,UN,1,"0,00","199,80","199,80","100,00%"
032891,CALÇA,jan. / 2025,UN,1,"0,00","199,80","199,80","100,00%"
032862,CALÇA,jan. / 2025,UN,1,"0,00","209,85","209,85","100,00%"
032064,CALÇA,jan. / 2025,UN,1,"0,00","179,85","179,85","100,00%"
9330,CALÇA,jan. / 2025,UN,1,"0,00","149,85","149,85","100,00%"
9303,CALÇA,jan. / 2025,UN,1,"0,00","129,90","129,90","100,00%"
M7033,CALÇA,jan. / 2025,UN,1,"0,00","259,80","259,80","100,00%"
6860,CALÇA TERMICA,jan. / 2025,UN,1,"0,00","129,90","129,90","100,00%"
8519,CARDIGÃ,jan. / 2025,UN,2,"0,00","259,80","259,80","100,00%"
A4689,CASACO,jan. / 2025,UN,1,"0,00","159,90","159,90","100,00%"
5525,CASACO,jan. / 2025,UN,3,"0,00","539,55","539,55","100,00%"
A5086,CASACO,jan. / 2025,UN,1,"0,00","199,80","199,80","100,00%"
10816,CONJUNTO,jan. / 2025,UN,1,"0,00","236,40","236,40","100,00%"
7045,CONJUNTO,jan. / 2025,UN,1,"0,00","239,40","239,40","100,00%"
9012,CONJUNTO,jan. / 2025,UN,1,"0,00","209,70","209,70","100,00%"
9266,CONJUNTO,jan. / 2025,UN,1,"0,00","219,90","219,90","100,00%"
9367,CONJUNTO,jan. / 2025,UN,1,"0,00","239,60","239,60","100,00%"
8411,CONJUNTO,jan. / 2025,UN,1,"0,00","219,90","219,90","100,00%"
M9033,CONJUNTO,jan. / 2025,UN,1,"0,00","259,80","259,80","100,00%"
9302,CROPPED,jan. / 2025,UN,2,"0,00","139,80","139,80","100,00%"
8961,CROPPED,jan. / 2025,UN,1,"0,00","59,90","59,90","100,00%"
M9048,JAQUETA,jan. / 2025,UN,1,"0,00","179,85","179,85","100,00%"
0001,PEÇA,jan. / 2025,UN,1,"0,00","129,90","129,90","100,00%"
10554,REGATA,jan. / 2025,UN,1,"0,00","69,90","69,90","100,00%"
9009,REGATA,jan. / 2025,UN,1,"0,00","69,90","69,90","100,00%"
M8013,REGATA,jan. / 2025,UN,1,"0,00","89,90","89,90","100,00%"
9373,SHORT,jan. / 2025,UN,1,"0,00","120,00","120,00","100,00%"
FHS1006,SHORT,jan. / 2025,UN,1,"0,00","129,90","129,90","100,00%"
SHORT,SHORT,jan. / 2025,UN,1,"0,00","149,85","149,85","100,00%"
9374,T-SHIRT,jan. / 2025,UN,4,"0,00","254,95","254,95","100,00%"
M8093,T-SHIRT,jan. / 2025,UN,1,"0,00","89,90","89,90","100,00%"
6887,T-SHIRT PLUS,jan. / 2025,UN,2,"0,00","214,80","214,80","100,00%"
9180,VESTIDO,jan. / 2025,UN,1,"0,00","199,80","199,80","100,00%"
M9028,VESTIDO,jan. / 2025,UN,1,"0,00","129,90","129,90","100,00%"
L8063,VESTIDO LONGO,jan. / 2025,UN,1,"0,00","229,90","229,90","100,00%"
3487,CICLISTA,fev. / 2025,UN,1,"73,90","149,86","75,96","50,68%"
0767,TOP,fev. / 2025,UN,2,"145,80","299,80","154,00","51,36%"
BERMUDAS,BERMUDA FEM ANDRELITA,fev. / 2025,UN,6,"239,40","524,70","285,30","54,37%"
MC3050,MACAQUINHO GIRASSOL,fev. / 2025,UN,1,"30,00","120,00","90,00","75,00%"
10816,CONJUNTO,fev. / 2025,UN,1,"0,00","236,40","236,40","100,00%"
9302,CROPPED,fev. / 2025,UN,2,"0,00","139,80","139,80","100,00%"
10554,REGATA,fev. / 2025,UN,1,"0,00","69,90","69,90","100,00%"
M8013,REGATA,fev. / 2025,UN,1,"0,00","89,90","89,90","100,00%"
FHS1006,SHORT,fev. / 2025,UN,1,"0,00","129,90","129,90","100,00%"
9180,VESTIDO,fev. / 2025,UN,1,"0,00","199,80","199,80","100,00%"
L8063,VESTIDO LONGO,fev. / 2025,UN,1,"0,00","229,90","229,90","100,00%"
CALCAMASC,CALÇA MASCULINA,mar. / 2025,UN,1,"99,90","179,90","80,00","44,46%"
AN18,ANEL,mar. / 2025,UN,1,"18,00","36,00","18,00","50,00%"
CO28,COLAR,mar. / 2025,UN,1,"28,00","56,00","28,00","50,00%"
CO38,COLAR,mar. / 2025,UN,1,"38,00","76,00","38,00","50,00%"
2164,CALÇA VIA ATUAL,mar. / 2025,UN,1,"99,90","209,85","109,95","52,39%"
6832,BLUSA URLA,mar. / 2025,UN,1,"84,91","179,85","94,94","52,78%"
6889,CALÇA AVERZZY,mar. / 2025,UN,1,"94,26","199,80","105,54","52,82%"
8722,CALÇA WILDY,mar. / 2025,UN,1,"59,90","129,90","70,00","53,88%"
5000,CALÇA MONTARIA,mar. / 2025,UN,2,"119,00","259,80","140,80","54,19%"
6862,BLUSA,mar. / 2025,UN,2,"100,14","219,80","119,66","54,44%"
5002,BERMUDA,mar. / 2025,UN,3,"119,70","269,70","150,00","55,61%"
3085,BLUSA MEIA ESTACÃO,mar. / 2025,UN,1,"39,90","89,90","50,00","55,61%"
8300,CONJUNTO,mar. / 2025,UN,1,"99,90","239,85","139,95","58,34%"
5028,CALÇA,mar. / 2025,UN,3,"84,00","209,70","125,70","59,94%"
3571,BERMUDA,mar. / 2025,UN,1,"0,00","179,85","179,85","100,00%"
3585,BERMUDA,mar. / 2025,UN,1,"0,00","179,85","179,85","100,00%"
8719,BLAZER,mar. / 2025,UN,1,"0,00","99,91","99,91","100,00%"
6657,BLUSA,mar. / 2025,UN,1,"0,00","99,90","99,90","100,00%"
6888,BLUSA URLA,mar. / 2025,UN,1,"0,00","199,80","199,80","100,00%"
2262,CALÇA,mar. / 2025,UN,1,"0,00","229,80","229,80","100,00%"
2256,CALÇA,mar. / 2025,UN,1,"0,00","199,80","199,80","100,00%"
M7033,CALÇA,mar. / 2025,UN,1,"0,00","259,80","259,80","100,00%"
9367,CONJUNTO,mar. / 2025,UN,1,"0,00","239,60","239,60","100,00%"
0001,PEÇA,mar. / 2025,UN,1,"0,00","129,90","129,90","100,00%"
9373,SHORT,mar. / 2025,UN,1,"0,00","120,00","120,00","100,00%"
9374,T-SHIRT,mar. / 2025,UN,2,"0,00","129,80","129,80","100,00%"
6887,T-SHIRT PLUS,mar. / 2025,UN,1,"0,00","104,90","104,90","100,00%"
1033246,CASACO,abr. / 2025,UN,1,"119,90","237,80","117,90","49,57%"
6862,BLUSA,abr. / 2025,UN,1,"50,07","99,90","49,83","49,87%"
B18,BRINCO AN,abr. / 2025,UN,1,"18,00","36,00","18,00","50,00%"
CO38,COLAR,abr. / 2025,UN,1,"38,00","76,00","38,00","50,00%"
2004,JAQUETA,abr. / 2025,UN,1,"149,90","299,80","149,90","50,00%"
PL28,PULSEIRA,abr. / 2025,UN,1,"28,00","56,00","28,00","50,00%"
090125,JAQUETA,abr. / 2025,UN,1,"119,90","249,70","129,80","51,98%"
2188,CALÇA RETA,abr. / 2025,UN,1,"99,90","209,85","109,95","52,39%"
8513,VESTIDO LINDA MICRO,abr. / 2025,UN,1,"64,09","139,90","75,81","54,18%"
8189,JAQUETA FEMININA,abr. / 2025,UN,1,"134,90","299,80","164,90","55,00%"
9516,BLUSA LONGA,abr. / 2025,UN,1,"0,00","89,90","89,90","100,00%"
896099,BOLSA,abr. / 2025,UN,1,"0,00","179,85","179,85","100,00%"
032064,CALÇA,abr. / 2025,UN,1,"0,00","179,85","179,85","100,00%"
6860,CALÇA TERMICA,abr. / 2025,UN,1,"0,00","129,90","129,90","100,00%"
8519,CARDIGÃ,abr. / 2025,UN,1,"0,00","129,90","129,90","100,00%"
A4689,CASACO,abr. / 2025,UN,1,"0,00","159,90","159,90","100,00%"
5525,CASACO,abr. / 2025,UN,2,"0,00","359,70","359,70","100,00%"
A5086,CASACO,abr. / 2025,UN,1,"0,00","199,80","199,80","100,00%"
7045,CONJUNTO,abr. / 2025,UN,1,"0,00","239,40","239,40","100,00%"
9012,CONJUNTO,abr. / 2025,UN,1,"0,00","209,70","209,70","100,00%"
9266,CONJUNTO,abr. / 2025,UN,1,"0,00","219,90","219,90","100,00%"
8411,CONJUNTO,abr. / 2025,UN,1,"0,00","219,90","219,90","100,00%"
M9033,CONJUNTO,abr. / 2025,UN,1,"0,00","259,80","259,80","100,00%"
M9048,JAQUETA,abr. / 2025,UN,1,"0,00","179,85","179,85","100,00%"
9374,T-SHIRT,abr. / 2025,UN,1,"0,00","64,90","64,90","100,00%"
M8093,T-SHIRT,abr. / 2025,UN,1,"0,00","89,90","89,90","100,00%"
6887,T-SHIRT PLUS,abr. / 2025,UN,1,"0,00","109,90","109,90","100,00%"
M9028,VESTIDO,abr. / 2025,UN,1,"0,00","129,90","129,90","100,00%"
2171,CALÇA CIGARRETE,mai. / 2025,UN,1,"104,90","220,50","115,60","52,42%"
2193,CALÇA WIDE,mai. / 2025,UN,1,"94,90","209,85","114,95","54,77%"
8189,JAQUETA FEMININA,mai. / 2025,UN,1,"134,90","299,80","164,90","55,00%"
A5347,BLUSA,mai. / 2025,UN,1,"0,00","179,85","179,85","100,00%"
032862,CALÇA,mai. / 2025,UN,1,"0,00","209,85","209,85","100,00%"
9303,CALÇA,mai. / 2025,UN,1,"0,00","129,90","129,90","100,00%"
8519,CARDIGÃ,mai. / 2025,UN,1,"0,00","129,90","129,90","100,00%"
5525,CASACO,mai. / 2025,UN,1,"0,00","179,85","179,85","100,00%"
9374,T-SHIRT,mai. / 2025,UN,1,"0,00","60,25","60,25","100,00%"
6535,BLUSA,jun. / 2025,UN,1,"0,00","99,90","99,90","100,00%"
6829,BLUSA,jun. / 2025,UN,1,"0,00","109,88","109,88","100,00%"
M9161,BLUSA,jun. / 2025,UN,1,"0,00","99,90","99,90","100,00%"
8817,BLUSA JULIA,jun. / 2025,UN,1,"39,90","89,90","50,00","55,61%"
9570,BLUSA LÃ,jun. / 2025,UN,1,"0,00","209,90","209,90","100,00%"
6483,BLUSA TERMICA,jun. / 2025,UN,1,"0,00","69,60","69,60","100,00%"
6832,BLUSA URLA,jun. / 2025,UN,2,"169,82","359,70","189,88","52,78%"
43573,BOLSA,jun. / 2025,UN,1,"89,90","199,90","110,00","55,02%"
10101,CALÇA,jun. / 2025,UN,1,"0,00","179,85","179,85","100,00%"
5028,CALÇA,jun. / 2025,UN,1,"0,00","129,90","129,90","100,00%"
032064,CALÇA,jun. / 2025,UN,1,"0,00","161,87","161,87","100,00%"
2331,CALÇA,jun. / 2025,UN,1,"14,40","209,85","195,45","93,13%"
2338,CALÇA,jun. / 2025,UN,1,"0,00","224,75","224,75","100,00%"
9303,CALÇA,jun. / 2025,UN,1,"0,00","129,89","129,89","100,00%"
9608,CALÇA,jun. / 2025,UN,2,"0,00","239,78","239,78","100,00%"
6824,CALÇA,jun. / 2025,UN,2,"0,00","439,80","439,80","100,00%"
2097,CALÇA CIGARRETE,jun. / 2025,UN,1,"104,90","209,85","104,95","50,01%"
2297,CALÇA COLOR,jun. / 2025,UN,1,"0,00","218,70","218,70","100,00%"
6901,CALÇA MONTARIA TERMICA,jun. / 2025,UN,1,"0,00","159,90","159,90","100,00%"
2336,CALÇA PLUS,jun. / 2025,UN,3,"0,00","692,53","692,53","100,00%"
2289,CALÇA WIDE,jun. / 2025,UN,2,"0,00","466,83","466,83","100,00%"
DZ20327,CALÇA WIDE,jun. / 2025,UN,1,"154,90","159,90","5,00","3,12%"
8519,CARDIGÃ,jun. / 2025,UN,2,"0,00","259,80","259,80","100,00%"
CAT818,CARTEIRA,jun. / 2025,UN,1,"18,00","49,90","31,90","63,92%"
7082,CASACO,jun. / 2025,UN,2,"0,00","679,60","679,60","100,00%"
5525,CASACO,jun. / 2025,UN,1,"0,00","179,85","179,85","100,00%"
6841,CASACO,jun. / 2025,UN,2,"0,00","419,70","419,70","100,00%"
SV620005,JAQUETA,jun. / 2025,UN,2,"0,00","639,60","639,60","100,00%"
8206,JAQUETA JEANS,jun. / 2025,UN,2,"0,00","563,40","563,40","100,00%"
3700,SUETER,jun. / 2025,UN,1,"0,00","129,90","129,90","100,00%"
9374,T-SHIRT,jun. / 2025,UN,2,"0,00","129,80","129,80","100,00%"
B25,BRINCO,jul. / 2025,UN,1,"25,00","49,99","24,99","49,98%"
2331,CALÇA,jul. / 2025,UN,1,"14,40","209,85","195,45","93,13%"
C1424,BLUSA LÃ,jul. / 2025,UN,1,"0,00","179,85","179,85","100,00%"
M9143,BLUSA MODAL,jul. / 2025,UN,1,"0,00","129,90","129,90","100,00%"
B20D,BRINCO DESMENBRADO TRIO,jul. / 2025,UN,1,"0,00","54,00","54,00","100,00%"
11001,CALÇA,jul. / 2025,UN,1,"0,00","179,85","179,85","100,00%"
11321,CALÇA,jul. / 2025,UN,1,"0,00","89,90","89,90","100,00%"
6860,CALÇA TERMICA,jul. / 2025,UN,1,"0,00","129,90","129,90","100,00%"
9015,CASACO,jul. / 2025,UN,1,"0,00","319,80","319,80","100,00%"
M9090,CONJUNTO,jul. / 2025,UN,1,"0,00","279,74","279,74","100,00%"
SV650007,JAQUETA,jul. / 2025,UN,2,"0,00","639,60","639,60","100,00%"
B65,TRIO BRINCO,jul. / 2025,UN,1,"0,00","130,00","130,00","100,00%"
MOCHILA,BOLSA,ago. / 2025,UN,1,"129,00","249,50","120,50","48,29%"
2169,CALÇA CIGARRETE,ago. / 2025,UN,1,"114,90","239,85","124,95","52,09%"
2161,CALÇA BLACK,ago. / 2025,UN,1,"109,90","229,49","119,59","52,11%"
CALCAMASC,CALÇA MASCULINA,ago. / 2025,UN,1,"55,90","119,90","64,00","53,37%"
7066,BLUSA,ago. / 2025,UN,2,"104,24","239,40","135,16","56,45%"
3002,BLUSA,ago. / 2025,UN,1,"29,99","69,90","39,91","57,09%"
2332,CALÇA PRETA,ago. / 2025,UN,1,"57,90","224,70","166,80","74,23%"
2331,CALÇA,ago. / 2025,UN,1,"14,40","209,85","195,45","93,13%"
4043,BLUSA,ago. / 2025,UN,1,"0,00","129,90","129,90","100,00%"
07066,BLUSA,ago. / 2025,UN,1,"0,00","100,00","100,00","100,00%"
M9051,BLUSA,ago. / 2025,UN,1,"0,00","59,90","59,90","100,00%"
B40,BRINCO,ago. / 2025,UN,1,"0,00","80,00","80,00","100,00%"
10901,CALÇA,ago. / 2025,UN,1,"0,00","199,80","199,80","100,00%"
5028,CALÇA,ago. / 2025,UN,1,"0,00","77,30","77,30","100,00%"
032064,CALÇA,ago. / 2025,UN,1,"0,00","179,85","179,85","100,00%"
9561,CALÇA,ago. / 2025,UN,1,"0,00","159,90","159,90","100,00%"
9665,CALÇA,ago. / 2025,UN,1,"0,00","95,89","95,89","100,00%"
M8075,CALÇA,ago. / 2025,UN,2,"0,00","174,70","174,70","100,00%"
8000,CALÇA SOCIAL,ago. / 2025,UN,1,"0,00","99,89","99,89","100,00%"
11237,CASACO,ago. / 2025,UN,1,"0,00","57,90","57,90","100,00%"
9669,CONJUNTO,ago. / 2025,UN,1,"0,00","239,80","239,80","100,00%"
SV650007,JAQUETA,ago. / 2025,UN,1,"0,00","319,80","319,80","100,00%"
3578,SHORT,ago. / 2025,UN,1,"0,00","99,91","99,91","100,00%"
3598,SHORT,ago. / 2025,UN,1,"0,00","95,89","95,89","100,00%"
674588,SHORT,ago. / 2025,UN,1,"0,00","107,89","107,89","100,00%"
9374,T-SHIRT,ago. / 2025,UN,4,"0,00","211,70","211,70","100,00%"
8949,T-SHIRT DEISE,ago. / 2025,UN,1,"0,00","35,90","35,90","100,00%"
3588,BERMUDA,set. / 2025,UN,1,"0,00","139,91","139,91","100,00%"
M9249,BLUSA,set. / 2025,UN,1,"0,00","89,90","89,90","100,00%"
9374,T-SHIRT,set. / 2025,UN,1,"0,00","64,90","64,90","100,00%"
7077,REGATAS,out. / 2025,UN,1,"66,90","99,90","33,00","33,03%"
PAI,CAMISETA,out. / 2025,UN,1,"92,00","179,85","87,85","48,84%"
3002,BLUSA,out. / 2025,UN,8,"239,92","559,20","319,28","57,09%"
7069,BERMUDA,out. / 2025,UN,1,"0,00","129,90","129,90","100,00%"
7043,BLUSA,out. / 2025,UN,3,"0,00","299,70","299,70","100,00%"
7177,BLUSA,out. / 2025,UN,1,"0,00","159,90","159,90","100,00%"
9630,BLUSA,out. / 2025,UN,1,"0,00","69,90","69,90","100,00%"
9703,BLUSA,out. / 2025,UN,3,"0,00","189,70","189,70","100,00%"
9842,BLUSA,out. / 2025,UN,1,"0,00","55,00","55,00","100,00%"
9852,BLUSA,out. / 2025,UN,1,"0,00","55,00","55,00","100,00%"
M9249,BLUSA,out. / 2025,UN,1,"0,00","79,90","79,90","100,00%"
2340,CALÇA,out. / 2025,UN,1,"0,00","224,70","224,70","100,00%"
0027,CONJUNTO,out. / 2025,UN,2,"0,00","319,80","319,80","100,00%"
5050,CONJUNTO,out. / 2025,UN,2,"0,00","399,60","399,60","100,00%"
9831,CONJUNTO,out. / 2025,UN,1,"0,00","209,85","209,85","100,00%"
7068,REGATA,out. / 2025,UN,1,"0,00","109,90","109,90","100,00%"
9373,SHORT,out. / 2025,UN,1,"0,00","129,90","129,90","100,00%"
9374,T-SHIRT,out. / 2025,UN,2,"0,00","124,80","124,80","100,00%"
CO42,COLAR ANA TAVARES,nov. / 2025,UN,1,"42,00","84,00","42,00","50,00%"
6530,SAIA,nov. / 2025,UN,1,"73,01","199,80","126,79","63,45%"
32102,BERMUDA,nov. / 2025,UN,1,"0,00","159,90","159,90","100,00%"
M9430,BLUSA,nov. / 2025,UN,1,"0,00","89,90","89,90","100,00%"
M9239,BLUSA,nov. / 2025,UN,1,"0,00","89,90","89,90","100,00%"
M9249,BLUSA,nov. / 2025,UN,1,"0,00","89,90","89,90","100,00%"
032921,CALÇA,nov. / 2025,UN,1,"0,00","229,80","229,80","100,00%"
9588,CONJ CINZA DESMENBRADO,nov. / 2025,UN,1,"0,00","99,90","99,90","100,00%"
3598,SHORT,nov. / 2025,UN,1,"0,00","159,90","159,90","100,00%"
3537,CICLISTA HOT COMPRESSORA,dez. / 2025,UN,1,"79,90","149,85","69,95","46,68%"
B18,BRINCO AN,dez. / 2025,UN,1,"18,00","36,00","18,00","50,00%"
CO32,COLAR,dez. / 2025,UN,1,"32,00","64,00","32,00","50,00%"
CO38,COLAR,dez. / 2025,UN,1,"38,00","76,00","38,00","50,00%"
3002,BLUSA,dez. / 2025,UN,5,"149,95","389,50","239,55","61,50%"
6530,SAIA,dez. / 2025,UN,1,"73,01","199,80","126,79","63,45%"
0001802,BERMUDA,dez. / 2025,UN,1,"0,00","159,90","159,90","100,00%"
0018036,BERMUDA,dez. / 2025,UN,2,"0,00","319,80","319,80","100,00%"
00018001,BERMUDA,dez. / 2025,UN,2,"0,00","319,80","319,80","100,00%"
30501,BERMUDA,dez. / 2025,UN,1,"0,00","159,90","159,90","100,00%"
7069,BERMUDA,dez. / 2025,UN,4,"0,00","599,40","599,40","100,00%"
32101,BERMUDA,dez. / 2025,UN,2,"0,00","319,80","319,80","100,00%"
32102,BERMUDA,dez. / 2025,UN,1,"0,00","159,90","159,90","100,00%"
33101,BERMUDA,dez. / 2025,UN,1,"0,00","159,90","159,90","100,00%"
33002,BERMUDA,dez. / 2025,UN,2,"0,00","319,80","319,80","100,00%"
0032,BLUSA,dez. / 2025,UN,1,"0,00","89,90","89,90","100,00%"
7177,BLUSA,dez. / 2025,UN,1,"0,00","159,90","159,90","100,00%"
03932,BLUSA,dez. / 2025,UN,1,"0,00","149,85","149,85","100,00%"
6485,BLUSA,dez. / 2025,UN,1,"0,00","45,00","45,00","100,00%"
L42,BLUSA,dez. / 2025,UN,1,"0,00","79,90","79,90","100,00%"
6583,BLUSA,dez. / 2025,UN,2,"0,00","179,90","179,90","100,00%"
9630,BLUSA,dez. / 2025,UN,1,"0,00","69,90","69,90","100,00%"
9666,BLUSA,dez. / 2025,UN,3,"0,00","179,70","179,70","100,00%"
9703,BLUSA,dez. / 2025,UN,1,"0,00","59,90","59,90","100,00%"
M9223,BLUSA,dez. / 2025,UN,1,"0,00","89,90","89,90","100,00%"
M9404,BLUSA,dez. / 2025,UN,1,"0,00","89,90","89,90","100,00%"
M9245,BLUSA,dez. / 2025,UN,2,"0,00","179,80","179,80","100,00%"
M9278,BLUSA,dez. / 2025,UN,2,"0,00","159,80","159,80","100,00%"
M9378,BLUSA,dez. / 2025,UN,1,"0,00","89,90","89,90","100,00%"
7187,CALÇA,dez. / 2025,UN,1,"0,00","179,90","179,90","100,00%"
2395,CALÇA,dez. / 2025,UN,1,"0,00","219,90","219,90","100,00%"
2399,CALÇA,dez. / 2025,UN,2,"0,00","444,60","444,60","100,00%"
11201,CALÇA FLARE,dez. / 2025,UN,1,"0,00","199,80","199,80","100,00%"
9263,CONJUNTO,dez. / 2025,UN,1,"0,00","199,80","199,80","100,00%"
9815,CONJUNTO,dez. / 2025,UN,1,"0,00","219,90","219,90","100,00%"
7068,REGATA,dez. / 2025,UN,2,"0,00","227,79","227,79","100,00%"
6662,REGATA PRETA,dez. / 2025,UN,1,"0,00","69,90","69,90","100,00%"
3597,SHORT,dez. / 2025,UN,1,"0,00","143,11","143,11","100,00%"
3598,SHORT,dez. / 2025,UN,1,"0,00","159,90","159,90","100,00%"
9806,SHORT,dez. / 2025,UN,1,"0,00","199,80","199,80","100,00%"
9374,T-SHIRT,dez. / 2025,UN,2,"0,00","119,80","119,80","100,00%"
M9301,T-SHIRT,dez. / 2025,UN,1,"0,00","76,30","76,30","100,00%"
9887,VEST,dez. / 2025,UN,1,"0,00","149,85","149,85","100,00%"